41,5,0
40,6,0
39,7,0
38,8,0
37,9,0
36,10,0
35,10,0
34,9,0
33,10,0
32,11,0
31,11,0
30,12,0
29,13,0
28,14,0
27,15,0
27,16,0
26,17,0
25,18,0
24,19,0
24,20,0
23,21,0
24,22,0
23,23,0
22,24,0
21,25,0
20,26,0
19,27,0
19,28,0
20,29,0
20,30,0
21,31,0
20,32,0
19,33,0
18,34,0
17,35,0
17,36,0
16,37,0
15,38,0
15,39,0
14,40,0
13,41,0
12,42,0
11,43,0
12,44,0
11,45,0
10,46,0
9,47,0
9,48,0
10,49,0
10,50,0
9,51,0
8,52,0
8,53,0
9,54,0
10,55,0
10,56,0
11,55,0
12,56,0
13,57,0
14,58,0
15,59,0
14,60,0
13,61,0
14,62,0
15,63,0
16,64,0
17,65,0
18,66,0
19,67,0
20,68,0
21,69,0
20,70,0
19,71,0
20,72,0
21,73,0
22,74,0
23,73,0
24,72,0
25,73,0
26,74,0
25,74,0
25,75,0
26,76,0
27,76,0
28,76,0
29,77,0
30,77,0
31,78,0
32,79,0
33,78,0
34,79,0
34,80,0
35,81,0
36,82,0
37,81,0
37,82,0
38,81,0
39,81,0
40,82,0
41,83,0
42,83,0
43,82,0
44,82,0
45,83,0
45,84,0
46,85,0
46,86,0
47,87,0
47,88,0
48,89,0
49,90,0
50,90,0
51,91,0
